split_id,train_samples,validation_samples,test_samples,n_features,best_num_leaves,best_feature_fraction,best_row_fraction,best_iteration,validation_auprc,test_auroc,test_auprc
1,87376,28430,28953,1551,32,0.66,0.66,58,0.5001903762089872,0.9519802088817051,0.45380384122476747
2,86005,28204,30550,1506,32,0.33,0.66,136,0.5174891641163606,0.9442834868317252,0.5158739835405488
3,87397,27238,30124,1546,32,0.66,0.66,41,0.6012609786504526,0.945790537550681,0.45616883925662777
4,88569,27498,28692,1566,16,0.66,0.66,175,0.41085411340058026,0.9621529749296295,0.5481243005458954
5,88155,26275,30329,1531,8,0.66,0.33,141,0.3966012763866445,0.9576421563576833,0.4875016405148649
